Degree,Work,Salary
Masters,Industry,86
Masters,Academia,71
PhD,Industry,104
Masters,Industry,94
Masters,Academia,93
Masters,Academia,96
PhD,Academia,100
Masters,Industry,86
PhD,Academia,80
Masters,Industry,85
PhD,Academia,95
Masters,Industry,97
PhD,Industry,72
Masters,Industry,98
Masters,Industry,91
Masters,Industry,91
PhD,Academia,96
Masters,Industry,93
Masters,Industry,88
Masters,Industry,97
Masters,Industry,83
PhD,Academia,90
Masters,Industry,89
Masters,Industry,86
Masters,Industry,83
Masters,Industry,99
Masters,Industry,99
PhD,Academia,91
PhD,Industry,101
Masters,Industry,98
